imdb_id,name,total_gross,total_num_of_shows,avg_ticket_price,tota_num_of_attendees
tt3076658,CREED (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/324?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)--MUST END TONIGHT!!,12938,30,8.0,53.875
tt3824458,TANGERINE,10810,30,8.0,45.0
tt1587310,MALEFICENT,7565,29,8.0,32.5
tt1441395,UNDER THE SKIN--MUST END TONIGHT!!,10061,28,8.0,44.875
tt1791528,INHERENT VICE,13018,28,7.89285714285714,58.7873303167421
tt1798709,HER (Must End Tonight!),9270,28,8.0,41.375
tt2334873,BLUE JASMINE,9225,28,8.0,41.125
tt2452042,THE PEANUTS MOVIE,10734,28,8.0,47.875
tt1398426,STRAIGHT OUTTA COMPTON - MUST END TONIGHT!,10091,27,8.0,46.625
tt1800241,AMERICAN HUSTLE,7361,27,8.0,34.0
tt2576852,THE TALE OF PRINCESS KAGUYA - In English,9310,27,8.0,43.0
tt2872732,LUCY,10534,27,8.0,48.75
tt1865505,SONG OF THE SEA,8909,26,8.08,42.3267326732673
tt0093779,THE PRINCESS BRIDE,8167,24,8.0,42.5
tt1714915,ONLY LOVERS LEFT ALIVE,7997,24,8.0,41.625
tt1853728,DJANGO UNCHAINED,6374,24,6.0,44.1666666666667
tt1045658,SILVER LININGS PLAYBOOK (2 for 1 Wednesday),4276,23,6.0,30.8333333333333
tt1571249,THE SKELETON TWINS,9268,23,8.0,50.25
tt2179116,THE KINGS OF SUMMER,4776,23,6.63157894736842,31.2142857142857
tt2229499,DON JON,7867,23,8.0,42.75
tt2281587,MUPPETS MOST WANTED,6770,23,8.0,36.75
tt2379713,SPECTRE - MUST END TONIGHT!,9127,23,8.0,49.5
tt2401878,ANOMALISA (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/529?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>),8060,23,8.0,43.75
tt2883512,CHEF--MUST END TONIGHT!!,6978,23,8.0,37.875
tt0903657,LOVE & MERCY,5294,22,8.0,30.0
tt1229340,ANCHORMAN 2,6625,22,8.10526315789474,37.1363636363636
tt2094064,MUCH ADO ABOUT NOTHING,6833,22,7.05,43.9716312056738
tt2301592,THE DANCE OF REALITY,7883,22,8.0,44.75
tt3398268,WHEN MARNIE WAS THERE - In Japanese with English Subtitles,3886,22,7.68421052631579,22.9041095890411
tt0816692,INTERSTELLAR--MUST END TONIGHT!!,11759,21,8.09523809523809,69.0529411764706
tt2125435,Beasts of the Southern Wild,3070,21,5.89285714285714,24.7757575757576
tt2235108,DEAR WHITE PEOPLE--MUST END TONIGHT!!,9215,21,8.0,54.75
tt2267998,GONE GIRL--MUST END TODAY!!,9146,21,8.0,54.375
tt2788716,WELCOME TO ME - MUST END TONIGHT!,7508,21,8.1,44.0740740740741
tt0770828,MAN OF STEEL,4289,20,6.82352941176471,31.3620689655172
tt2042568,INSIDE LLEWYN DAVIS,7525,20,8.23529411764706,45.6571428571429
tt2293640,MINIONS,4673,20,8.0,29.125
tt2294629,FROZEN,5448,20,7.83333333333333,34.7234042553192
tt2582802,WHIPLASH,7830,20,8.0,48.875
tt3011894,WILD TALES,5837,20,7.84210526315789,37.1073825503356
tt0091369,"LABYRINTH Quote-Along with Barely Legal (<a target=""_blank"" href=""http://www.brownpapertickets.com/event/363035"">Purchase Tickets Online</a>)",12837,19,7.92857142857143,85.1351351351351
tt1213663,THE WORLD'S END,5223,19,8.0,34.25
tt1727388,"THE WAY, WAY BACK",5140,19,8.0,33.75
tt1980929,BEGIN AGAIN,5048,19,8.0,33.125
tt2321549,THE BABADOOK--MUST END TONIGHT!!,8535,19,8.10526315789474,55.3961038961039
tt2788710,"THE INTERVIEW - Groupons/Living Social not accepted for all showings of ""The Interview""--MUST END TONIGHT!!",11220,19,10.0,59.0
tt1453405,MONSTERS UNIVERSITY,5195,18,8.0,36.0
tt2013293,THE WIND RISES,5881,18,7.83333333333333,41.6170212765957
tt2294677,IN A WORLD...,4502,18,8.0,31.25
tt2375605,THE ACT OF KILLING,3347,18,8.11764705882353,22.7898550724638
tt2404181,BELLE,4062,18,8.0,28.125
tt3397884,SICARIO--MUST END TONIGHT!!,4808,18,8.0,33.375
tt1276104,Looper,2383,17,5.91666666666667,23.6619718309859
tt1490017,THE LEGO MOVIE,4830,17,7.82352941176471,36.3007518796992
tt1560747,THE MASTER (2 for 1 Wednesday),3390,17,6.0,33.1666666666667
tt1690953,DESPICABLE ME 2,3733,17,8.0,27.375
tt1714206,THE SPECTACULAR NOW,5719,17,8.0,42.0
tt2582496,ME AND EARL AND THE DYING GIRL,5520,17,8.0,40.5
tt3169706,PRIDE,4977,17,8.0,36.5
tt3460252,THE HATEFUL EIGHT (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/511?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)--MUST END TONIGHT!!,7364,17,8.0,54.125
tt4316236,THE BLACK PANTHERS: VANGUARD OF THE REVOLUTION - MUST END TONIGHT! (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2480584>Purchase Tickets Online</a>),3578,17,8.0,26.25
tt1024648,ARGO (2 for 1 Wednesday),2635,16,6.0,27.3333333333333
tt1126590,BIG EYES,5459,16,8.0,42.625
tt1673697,THE SAPPHIRES,3018,16,6.0,31.3333333333333
tt1731141,ENDER'S GAME,4727,16,8.0,36.875
tt1772341,WRECK-IT RALPH,2123,16,6.0,22.0
tt1791682,WHILE WE'RE YOUNG,4077,16,8.0,31.75
tt0097814,KIKI'S DELIVERY SERVICE - Dubbed in English,4271,15,8.0,35.5
tt0787474,THE BOXTROLLS,4850,15,8.0,40.375
tt1408101,STAR TREK INTO DARKNESS,3657,15,6.0,40.5
tt1588173,WARM BODIES,2033,15,6.0,22.5
tt1618399,THE WAITING ROOM (2 for 1 Wednesday),2294,15,6.53333333333333,23.265306122449
tt1659337,The Perks of Being a Wallflower,3437,15,5.95454545454545,38.4580152671756
tt1935179,MUD,3880,15,6.0,43.0
tt2101441,SPRING BREAKERS,2456,15,6.0,27.1666666666667
tt2103281,DAWN OF THE PLANET OF THE APES,4100,15,8.0,34.125
tt2194499,ABOUT TIME,3506,15,8.0,29.125
tt2390361,ENOUGH SAID,4434,15,8.0,36.875
tt2395427,AVENGERS: AGE OF ULTRON - MUST END TONIGHT!,2674,15,8.0,22.25
tt2582846,THE FAULT IN OUR STARS (Baby Brigade),4283,15,8.0,35.625
tt2848292,PITCH PERFECT 2,3127,15,8.0,26.0
tt3172532,DIARY OF A TEENAGE GIRL - MUST END TONIGHT!,5100,15,8.0,42.5
tt4044364,CITIZENFOUR--MUST END TONIGHT!!,5277,15,8.0,43.875
tt0347149,HOWL'S MOVING CASTLE (dubbed) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/327?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)--MUST END TONIGHT!!,10878,14,8.0,97.125
tt0491587,R. KELLY - TRAPPED IN THE CLOSET SING-A-LONG (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/1594668>Purchase Tickets Online</a>),7358,14,8.0,65.625
tt0975645,HITCHCOCK,1395,14,6.0,16.5
tt1343092,THE GREAT GATSBY,3534,14,6.46153846153846,39.0
tt1483013,OBLIVION,2814,14,6.0,33.5
tt1535108,ELYSIUM,3555,14,8.0,31.625
tt1605717,FRANK--MUST END TONIGHT!!,4502,14,8.0,40.125
tt1631867,THE EDGE OF TOMORROW,5036,14,8.0,44.875
tt1924429,TRANCE,1093,14,6.0,13.0
tt1951266,THE HUNGER GAMES: MOCKINGJAY PART 2 (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/353?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>),3581,14,8.0,31.875
tt2132285,THE BLING RING,3096,14,6.0,36.8333333333333
tt2305051,WILD--MUST END TONIGHT!!,5083,14,8.0,45.375
tt2562232,BIRDMAN - MUST END TONIGHT!,4555,14,8.28571428571429,39.2241379310345
tt3263614,"KUMIKO, THE TREASURE HUNTER",4714,14,7.78571428571429,43.1559633027523
tt3844362,THE OVERNIGHT,4168,14,8.0,37.125
tt0119698,PRINCESS MONONOKE (subtitled) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/428?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>),9149,13,8.0,87.875
tt0831387,GODZILLA,3867,13,8.0,37.125
tt1596363,THE BIG SHORT (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/530?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>),4857,13,8.0,46.625
tt1877832,X-MEN: DAYS OF FUTURE PAST (MUST END TONIGHT!!),3637,13,8.0,34.875
tt1979388,THE GOOD DINOSAUR (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/463?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>),3145,13,8.0,30.125
tt2004420,NEIGHBORS,3679,13,8.0,35.375
tt2064713,A BAND CALLED DEATH,6948,13,8.0,66.75
tt2245084,BIG HERO 6,4686,13,8.0,45.0
tt2258858,WADJDA (Baby Brigade),2580,13,8.0,24.75
tt2262227,BOOK OF LIFE,4329,13,8.0,41.625
tt2347569,FRANCES HA,2842,13,6.0,36.3333333333333
tt2357291,RIO 2,2119,13,8.0,20.375
tt2458776,BEARS,3471,13,8.0,33.375
tt2872750,SHAUN THE SHEEP,2273,13,8.0,21.75
tt2980648,THE HUNDRED FOOT JOURNEY,4130,13,8.0,39.625
tt3086442,GOODNIGHT MOMMY,4935,13,8.0,47.375
tt3235888,IT FOLLOWS - MUST END TONIGHT!,3651,13,8.0,35.0
tt4594834,CHI-RAQ,4290,13,8.0,41.25
tt0337692,ON THE ROAD,1531,12,6.0,21.1666666666667
tt0443272,LINCOLN,2500,12,6.0,34.6666666666667
tt0810819,THE DANISH GIRL (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/326?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)--MUST END TONIGHT!!,2686,12,8.0,27.875
tt0993846,THE WOLF OF WALL STREET,3344,12,8.0,34.75
tt1074638,SKYFALL,2220,12,6.0,30.8333333333333
tt1216491,KILL THE MESSENGER - MUST END TONIGHT!,2553,12,8.0,26.5
tt1798188,FROM UP ON POPPY HILL,2027,12,6.0,28.0
tt1817273,THE PLACE BEYOND THE PINES,2294,12,6.0,31.8333333333333
tt1869716,THE EAST,2159,12,6.72727272727273,26.6081081081081
tt1951265,THE HUNGER GAMES: MOCKINGJAY PART 1--MUST END TONIGHT!!,3750,12,8.0,39.0
tt1981677,Pitch Perfect,737,12,6.0,10.1666666666667
tt2076220,Holy Motors,2806,12,5.95,39.1596638655462
tt2381111,BROOKLYN (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/504?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)--MUST END TONIGHT!!,4350,12,8.0,45.25
tt2415458,THE WOLFPACK - MUST END TONIGHT!,3598,12,8.0,37.375
tt2479800,PALO ALTO,2944,12,8.0,30.625
tt2980706,PLANES: FIRE AND RESCUE,1878,12,8.0,19.5
tt3660770,MONKEY KINGDOM,2522,12,7.75,27.0967741935484
tt0096283,MY NEIGHBOR TOTORO (dubbed) (<a target=”_blank” href=*https://ticketing.us.veezi.com/purchase/429?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>),5552,11,8.0,63.0
tt0120185,SPICE WORLD (<a target=”_blank” href=http://www.brownpapertickets.com/event/2489372>Purchase Tickets Online</a>),8609,11,8.0,97.75
tt0816442,THE BOOK THIEF,3558,11,8.0,40.375
tt1245492,THIS IS THE END,2895,11,8.0,32.875
tt1430132,THE WOLVERINE,3088,11,7.81818181818182,35.8139534883721
tt1623205,OZ THE GREAT AND POWERFUL,1562,11,6.44444444444444,22.0344827586207
tt1758830,THIS IS 40,2022,11,6.0,30.5
tt1783732,John Dies at the End (2 for 1 Wednesday),1880,11,6.0,28.3333333333333
tt1790885,ZERO DARK THIRTY (2 for 1 Wednesday),1986,11,6.0,30.0
tt1907668,FLIGHT,2036,11,6.0,30.8333333333333
tt2180411,INTO THE WOODS--MUST END TONIGHT!!,3448,11,8.0,39.125
tt3549508,NAS: TIME IS ILLMATIC,3475,11,8.0,39.375
tt0118715,"THE BIG LEBOWSKI (Parkway Classics) <a target=""_blank"" href=""http://www.brownpapertickets.com/event/382043"">Purchase Tickets Online</a>",5511,10,7.6,72.5
tt0369610,JURASSIC WORLD--MUST END TONIGHT!!,2685,10,8.0,33.5
tt0453562,42,1304,10,6.0,21.6666666666667
tt1311071,KILL YOUR DARLINGS,1574,10,8.0,19.625
tt1371150,THIS IS WHERE I LEAVE YOU,2230,10,8.0,27.875
tt1646971,HOW TO TRAIN YOUR DRAGON 2,2669,10,8.0,33.25
tt1661199,CINDERELLA,2262,10,8.0,28.25
tt1707386,Les Miserables,1418,10,6.0,23.5
tt1854513,BLANCANIEVES,1582,10,6.0,26.3333333333333
tt1985966,CLOUDY WITH A CHANCE OF MEATBALLS 2,2102,10,8.0,26.25
tt2077908,ZARAFA - MUST END TONIGHT!,525,10,8.0,6.5
tt2224026,HOME,3318,10,8.0,41.375
tt2268016,MAGIC MIKE XXL -- MUST END TONIGHT!!,3403,10,8.0,42.5
tt2306745,SOUND CITY,1590,10,6.0,26.5
tt2334649,FRUITVALE STATION,2760,10,8.0,34.5
tt2402927,CAROL (Baby Brigade) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/523?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>),2822,10,8.0,35.25
tt2446980,JOY--MUST END TONIGHT!!,2836,10,8.0,35.375
tt0067992,"WILLY WONKA AND THE CHOCOLATE FACTORY, a benefit for Redwood Heights School)",1601,9,6.625,26.7169811320755
tt1170358,THE HOBBIT: THE DESOLATION OF SMAUG,2108,9,8.0,29.25
tt1288558,EVIL DEAD,908,9,6.0,16.6666666666667
tt1351685,JACK THE GIANT SLAYER,404,9,6.0,7.33333333333333
tt1866249,THE SESSIONS (Ends Today!),1251,9,6.0,23.1666666666667
tt1951264,THE HUNGER GAMES: CATCHING FIRE,2285,9,8.0,31.625
tt2005276,MUMIA: LONG DISTANCE REVOLUTIONARY (2 for 1 Wednesday),3696,9,7.0,58.5714285714286
tt2024432,IDENTITY THIEF,473,9,6.0,8.66666666666667
tt2473602,GET ON UP (MUST END TONIGHT!!),2795,9,8.0,38.75
tt2510894,HOTEL TRANSYLVANIA 2 - MUST END TONIGHT!,1321,9,8.0,18.25
tt2713180,FURY,2212,9,8.0,30.625
tt2802144,KINGSMAN: THE SECRET SERVICE--MUST END TONIGHT!!,2355,9,8.0,32.625
tt3065132,HE NAMED ME MALALA - MUST END TONIGHT!,1163,9,8.0,16.125
tt3850590,KRAMPUS--MUST END TONIGHT!!,2810,9,8.0,39.0
tt0107048,GROUNDHOG DAY,2075,8,7.5,34.5333333333333
tt0312004,WALLACE AND GROMIT: THE CURSE OF THE WERE-RABBIT,1156,8,8.0,18.0
tt0319343,ELF,2005,8,8.0,31.25
tt0790724,JACK REACHER (2 for 1 Wednesday),801,8,6.0,16.6666666666667
tt1100089,FOXCATCHER,2294,8,8.0,35.75
tt1308756,DON'T STOP BELIEVIN': EVERYMAN'S JOURNEY (Student Special),739,8,6.0,15.3333333333333
tt1621039,FREE BIRDS,1435,8,8.0,22.375
tt1640718,KAHLIL GIBRAN'S THE PROPHET,1753,8,8.0,27.375
tt1663662,PACIFIC RIM,2556,8,7.75,41.1612903225806
tt1764234,KILLING THEM SOFTLY,1483,8,6.0,30.8333333333333
tt1821641,THE CONGRESS--MUST END TONIGHT!!,1618,8,8.0,25.25
tt1911658,THE PENGUINS OF MADAGASCAR,2719,8,8.0,42.375
tt2059255,NO,818,8,6.0,17.0
tt2084989,UPSTREAM COLOR (Members are FREE First Thursday!),785,8,6.0,16.3333333333333
tt2091473,PROMISED LAND,1263,8,6.0,26.1666666666667
tt2125608,SEARCHING FOR SUGAR MAN (2 for 1 Wednesday),1426,8,6.0,29.6666666666667
tt2147134,56 Up (2 for 1 Wednesday),1186,8,6.0,24.6666666666667
tt2194328,FINDING FELA,2254,8,8.0,35.125
tt2209418,BEFORE MIDNIGHT,1654,8,7.5,27.4666666666667
tt2287170,MAN FROM RENO,2076,8,7.625,33.9672131147541
tt2316411,ENEMY (MUST END TONIGHT),1958,8,8.0,30.5
tt2350496,THE LUNCHBOX (Baby Brigade),1703,8,8.0,26.5
tt2396566,20 FEET FROM STARDOM,2149,8,8.0,33.5
tt2402085,JIMI: ALL IS BY MY SIDE--MUST END TONIGHT!!,1679,8,8.0,26.125
tt2884018,MACBETH - MUST END TONIGHT!,1896,8,8.0,29.625
tt3203606,TRUMBO - MUST END TONIGHT! (Doc Night Double) (<a target=”_blank” href=http://brownpapertickets.com/event/2481110>Purchase Tickets Online</a>),2631,8,8.0,41.0
tt3319508,SHE'S BEAUTIFUL WHEN SHE'S ANGRY--MUST END TONIGHT!!,1808,8,8.0,28.25
tt3416744,THE END OF THE TOUR,2459,8,8.0,38.375
tt3674140,THE SALT OF THE EARTH,1706,8,8.0,26.625
tt0087332,GHOSTBUSTERS (New Parkway Family Classics),2046,7,7.71428571428571,37.8518518518519
tt0089791,PEE-WEE'S BIG ADVENTURE,1249,7,8.0,22.25
tt1020072,SELMA,1368,7,8.0,24.375
tt1109624,PADDINGTON,1905,7,8.0,34.0
tt1272878,2 GUNS,1207,7,8.0,21.5
tt1300854,IRON MAN 3,1240,7,6.0,29.5
tt1322269,AUGUST: OSAGE COUNTY (Baby Brigade),1225,7,8.0,21.875
tt1355683,BLACK MASS,1538,7,8.0,27.375
tt1433811,DISCONNECT,1149,7,6.0,27.3333333333333
tt1457767,THE CONJURING,1407,7,8.0,25.125
tt1602620,AMOUR (Senior Special),1017,7,6.0,24.1666666666667
tt1650554,KICK-ASS 2,1417,7,8.0,25.25
tt1821549,NEBRASKA,1453,7,8.0,25.875
tt1832370,I AM ELEVEN,2356,7,8.57142857142857,39.2
tt1860353,TURBO,2067,7,7.83333333333333,37.6595744680851
tt1905041,FAST & FURIOUS 6,763,7,6.0,18.1666666666667
tt1964418,TOMORROWLAND - MUST END TONIGHT!,1489,7,8.0,26.5
tt1972571,A MOST WANTED MAN,1845,7,8.0,32.875
tt2073520,Broaklyn Film & Theater Co. Presents: AN OVERSIMPLIFICATION OF HER BEAUTY,2815,7,8.0,50.25
tt2080374,STEVE JOBS - MUST END TONIGHT!,1778,7,8.0,31.75
tt2140373,SAVING MR. BANKS,1514,7,8.0,27.0
tt2215151,INEQUALITY FOR ALL,1900,7,8.28571428571429,32.7068965517241
tt2267968,KUNG FU PANDA 3 (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/534?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>),1722,7,8.0,30.75
tt2310332,THE HOBBIT: BATTLE OF THE FIVE ARMIES,2228,7,8.0,39.75
tt2609912,KEVIN HART: LET ME EXPLAIN,744,7,6.66666666666667,15.9
tt2719848,EVEREST,1014,7,8.0,18.0
tt2771372,VERONICA MARS,1299,7,8.0,23.125
tt2872462,MISTRESS AMERICA,1214,7,8.0,21.625
tt3077214,SUFFRAGETTE,1366,7,8.0,24.375
tt3672742,TURBO KID - MUST END TONIGHT!,1997,7,8.0,35.625
tt3682448,BRIDGE OF SPIES,1322,7,8.0,23.5
tt3726704,EXPERIMENTER,688,7,8.0,12.25
tt0083866,E.T. THE EXTRA TERRESTRIAL (New Parkway Family Classics),880,6,7.2,20.2777777777778
tt0087957,"PURPLE RAIN SING-ALONG (<a href=""http://www.spectrumqueermedia.com"">Spectrum Queer Media</a>)  <a target=""_blank"" href=""http://www.brownpapertickets.com/event/397775"">Purchase Tickets Online</a>",2932,6,7.0,69.7142857142857
tt0126029,SHREK (New Parkway Family Classics),456,6,7.33333333333333,10.3636363636364
tt0379786,"SERENITY (<a target=""_blank"" href=""http://www.brownpapertickets.com/event/352134"">Purchase Tickets Online</a>)",3265,6,7.33333333333333,74.1818181818182
tt0420293,THE STANFORD PRISON EXPERIMENT--MUST END TONIGHT!!,1631,6,8.0,33.875
tt1051904,GOOSEBUMPS,932,6,8.0,19.375
tt1327773,THE BUTLER,1067,6,8.0,22.125
tt1360860,ABOUT ELLY - MUST END TONIGHT!,1625,6,8.0,33.75
tt1454468,GRAVITY,1181,6,8.0,24.5
tt1579361,CHASING ICE,3294,6,6.0,91.5
tt1600196,THE DROP--MUST END TONIGHT!!,1302,6,8.0,27.125
tt1638355,THE MAN FROM U.N.C.L.E.,964,6,8.0,20.0
tt1762399,WALKING WITH DINOSAURS,1084,6,8.0,22.5
tt1825157,THE DOUBLE (Baby Brigade),1264,6,8.0,26.25
tt1959490,NOAH,1314,6,8.0,27.375
tt2084970,THE IMITATION GAME,1748,6,8.0,36.375
tt2258345,FADING GIGOLO,1392,6,8.0,29.0
tt2302755,OLYMPUS HAS FALLEN,354,6,6.0,9.83333333333333
tt2304771,MANDELA: LONG WALK TO FREEDOM,1536,6,8.0,32.0
tt2334879,WHITE HOUSE DOWN,579,6,6.0,16.0
tt2350432,FREE ANGELA & ALL POLITICAL PRISONERS,1826,6,6.33333333333333,48.0
tt2366450,STORIES WE TELL,1092,6,6.0,30.3333333333333
tt2370248,SHORT TERM 12,948,6,8.0,19.75
tt2431286,PHILOMENA,1061,6,8.0,22.0
tt2545118,BLACKFISH,1088,6,7.4,24.4594594594595
tt2935476,FAR FROM THE MADDING CROWD - MUST END TONIGHT!,1277,6,8.0,26.5
tt2978462,DOLPHIN TALE 2,938,6,8.0,19.5
tt4163020,TALES OF HALLOWEEN - MUST END TONIGHT!,1131,6,8.0,23.5
tt0077631,GREASE SINGALONG,1142,5,7.2,31.6666666666667
tt0112431,BABE (New Parkway Family Classics),648,5,7.6,16.9736842105263
tt0245429,SPIRITED AWAY (Party at the Parkway) (<a target=”_blank” href=http://brownpapertickets.com/event/1376029>Purchase Tickets Online</a>),1600,5,8.0,40.0
tt1381404,THE COMPANY YOU KEEP,666,5,6.0,22.1666666666667
tt1392214,PRISONERS,974,5,8.0,24.25
tt1531901,BYZANTIUM,474,5,6.0,15.6666666666667
tt1621046,CESAR CHAVEZ,801,5,8.5,18.8235294117647
tt1655441,THE AGE OF ADALINE--MUST END TONIGHT!,813,5,8.0,20.25
tt1723121,WE'RE THE MILLERS,562,5,8.0,14.0
tt1800266,BROOKLYN CASTLE,778,5,6.5,23.8461538461538
tt1821658,THE NUT JOB,782,5,8.0,19.5
tt1937390,NYMPHOMANIAC VOLUME 1 (Must end tonight!),1057,5,8.0,26.375
tt1954701,A COFFEE IN BERLIN,720,5,8.0,18.0
tt1969062,INFINITELY POLAR BEAR,474,5,8.0,11.75
tt2032557,THE RELUCTANT FUNDAMENTALIST,613,5,6.0,20.3333333333333
tt2051879,EUROPA REPORT,656,5,8.0,16.375
tt2106476,THE HUNT,456,5,7.5,12.1333333333333
tt2125423,5 BROKEN CAMERAS (2 for 1 Wednesday),230,5,6.0,7.66666666666667
tt2234003,CALVARY,770,5,8.0,19.25
tt2245223,THE SOURCE FAMILY,1234,5,6.4,38.4375
tt2361509,THE INTERN - MUST END TONIGHT!,765,5,8.0,19.125
tt2386327,THE INSTITUTE (Baby Brigade),939,5,8.8,21.25
tt2514894,MEDORA,373,5,8.0,9.25
tt2639344,LOVE IS STRANGE,651,5,8.8,14.7727272727273
tt2652092,THE GOOD LIE - MUST END TONIGHT!,613,5,8.0,15.25
tt2752688,ROSEWATER,1275,5,8.0,31.875
tt2870756,MAGIC IN THE MOONLIGHT,586,5,8.0,14.625
tt2911666,JOHN WICK,600,5,8.0,15.0
tt2975578,THE PURGE: ANARCHY,800,5,8.0,20.0
tt2980516,THE THEORY OF EVERYTHING,1451,5,8.0,36.25
tt3089388,TIM'S VERMEER,982,5,8.0,24.5
tt3316960,STILL ALICE,645,5,8.5,15.1764705882353
tt4209900,FRESH DRESSED - MUST END TONIGHT!,469,5,8.0,11.625
tt5428662,OSCAR SHORTS: LIVE ACTION (Baby Brigade) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/314?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>),769,5,8.0,19.125
tt0032138,THE WIZARD OF OZ,813,4,8.0,25.375
tt0071615,THE HOLY MOUNTAIN,1061,4,8.0,33.125
tt0073629,THE ROCKY HORROR PICTURE SHOW (<a target=”_blank” href=http://brownpapertickets.com/event/2475325>Purchase Tickets Online</a>),4101,4,8.66666666666667,118.269230769231
tt0078504,THE WIZ,497,4,6.66666666666667,18.6
tt0082474,THE GREAT MUPPET CAPER (New Parkway Family Classics),984,4,7.0,35.1428571428571
tt0087995,REPO MAN (Party at the Parkway) - Evan Weissman,1432,4,7.0,51.1428571428571
