"imdb_id" "name" "gross" "date" "theater" "time" "num_of_shows" "ticket_price" "num_of_attendees" "day" "avg_attendence"
"39" "tt1405357" "ARCHEOLOGY OF MEMORY: VILLA GRIMALDI, co-presented by The Berkeley FILM Foundation w/post-film Q&A featuring director Marilyn Mulford (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/730920>Purchase Tickets Online</a>)" 230 2014-08-05 2 "19:00" 1 10 23 "Tuesday" 23
"40" "tt1435513" "Feelmore Fresh Fridays - April 2013 - HYSTERIA (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/343910\">Purchase Tickets Online</a>)" 340 2013-04-12 2 "22:00" 1 10 34 "Friday" 34
"41" "tt1460739" "BETTER THIS WORLD, co-presented by the Berkeley FILM Foundation and featuring a post-film Q&A with the filmmakers (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2402860>Purchase Tickets Online</a>)" 490 2015-11-03 2 "18:50" 1 10 49 "Tuesday" 49
"42" "tt1499958" "THE HERETICS, co-presented by The Berkeley FILM Foundation with a post-film Q&A with producer Crescent Diamond (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/785782>Purchase Tickets Online</a>)" 240 2014-09-02 2 "19:00" 1 10 24 "Tuesday" 24
"43" "tt1517069" "\"HOLDING ON TO JAH\" BENEFIT (<a target=”_blank” href=http://brownpapertickets.com/event/802661>Purchase Tickets Online</a>)" 32 2014-08-17 2 "12:30" 1 10 3 "Sunday" 3
"44" "tt1567233" "FORKS OVER KNIVES, featuring a post-film Q&A with Michelle Dwyer and Holly Works (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/1353701>Purchase Tickets Online</a>)" 361 2015-04-21 2 "19:00" 1 10 36 "Tuesday" 36
"45" "tt1618399" "THE WAITING ROOM - Q&A with director Pete Nicks - <a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/360831\">Purchase Tickets Online</a>" 365 2013-03-23 2 "15:10" 1 10 36 "Saturday" 36
"46" "tt1621046" "CESAR CHAVEZ" 144 2014-04-30 2 "19:00" 1 10 14 "Wednesday" 14
"47" "tt1623205" "OZ THE GREAT AND POWERFUL" 70 2013-05-23 2 "18:30" 1 10 7 "Thursday" 7
"48" "tt1633298" "ARTGASM co-presents a film by Emilie Jouvet with a post-film discussion moderated by Madison Young (ArtGasm) (<a target=”_blank” href=http://brownpapertickets.com/event/1353812>Purchase Tickets Online</a>)" 222 2015-03-27 1 "22:30" 1 10 22 "Friday" 22
"49" "tt1736049" "A PLACE AT THE TABLE, presented by the Oakland Food Policy Council (<a target=”_blank” href=http://brownpapertickets.com/event/477059>Purchase Tickets Online</a>)" 500 2013-10-24 1 "18:30" 1 10 50 "Thursday" 50
"50" "tt1746153" "CRIME AFTER CRIME (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2272916>Purchase Tickets Online</a>)" 1026 2015-10-13 2 "18:30" 1 10 103 "Tuesday" 103
"51" "tt1806837" "CHICKENS IN THE SHADOWS, co-presented by film curator Jeff M. Giordano and featuring a post-film Q&A with the director Vincent Gargiulo and Toaster N Moose (Local Filmmaker Showcase) (<a target=”_blank” href=http://brownpapertickets.com/event/916972>Purchase Tickets Online</a>)" 160 2014-12-14 1 "15:00" 1 10 16 "Sunday" 16
"52" "tt1832370" "I AM ELEVEN, featuring a post-film Q&A with filmmaker Genevieve Bailey (tt1832370 <span class=”detail”>Admission Price:</span> $10<br> <a target=”_blank” href=http://brownpapertickets.com/event/879243>Purchase Tickets Online</a>)" 428 2014-09-27 1 "14:15" 1 10 43 "Saturday" 43
"53" "tt1832370" "I AM ELEVEN, featuring a post-film Q&A with filmmaker Genevieve Bailey (<a target=”_blank” href=http://brownpapertickets.com/event/879267>Purchase Tickets Online</a>)" 1340 2014-09-28 1 "13:00" 1 10 134 "Sunday" 134
"54" "tt1844056" "THE BARBER OF BIRMINGHAM: FOOT SOLDIER OF THE CIVIL RIGHTS & RIDING MY WAY BACK, co-presented by The Berkeley FILM Foundation (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/577039>Purchase Tickets Online</a>)" 685 2014-03-04 2 "19:00" 1 10 68 "Tuesday" 68
"55" "tt1865505" "SONG OF THE SEA" 324 2015-03-25 1 "18:30" 1 10 32 "Wednesday" 32
"56" "tt2005276" "MUMIA: LONG DISTANCE REVOLUTIONARY~~ Q & A w/ director Stephen Vittoria (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/349955\">Purchase Tickets Online</a>)" 1496 2013-03-08 1 "18:30" 1 10 150 "Friday" 150
"57" "tt2005276" "MUMIA: LONG DISTANCE REVOLUTIONARY ~~ Q & A w/ director Stephen Vittoria (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/349958\">Purchase Tickets Online</a>)" 1373 2013-03-09 1 "15:30" 1 10 137 "Saturday" 137
"58" "tt2024544" "12 YEARS A SLAVE" 360 2014-01-22 1 "18:30" 1 10 36 "Wednesday" 36
"59" "tt2064713" "Broaklyn Film & Theater Co. presents A BAND CALLED DEATH (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/396497\">Purchase Tickets Online</a>)" 1920 2013-07-05 2 "22:30" 2 10 192 "Friday" 96
"60" "tt2079512" "HERMAN'S HOUSE, co-presented by UnCommon Law and featuring a post-film discussion (<a target=”_blank” href=http://brownpapertickets.com/event/823598>Purchase Tickets Online</a>)" 888 2014-09-18 2 "18:45" 1 10 89 "Thursday" 89
"61" "tt2089674" "ELEMENTAL (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/535238>Purchase Tickets Online</a>)" 230 2014-01-28 2 "19:00" 1 10 23 "Tuesday" 23
"62" "tt2094890" "MOTHER OF GEORGE, presented by Broaklyn Film and Theater Company (<a target=”_blank” href=http://brownpapertickets.com/event/512499>Purchase Tickets Online</a>)" 510 2013-11-19 1 "18:30" 1 10 51 "Tuesday" 51
"63" "tt2119463" "LET THE FIRE BURN, presented by Broaklyn Film and Theater Company(<a target=”_blank” href=http://brownpapertickets.com/event/512501>Purchase Tickets Online</a>)" 580 2013-11-26 2 "18:30" 1 10 58 "Tuesday" 58
"64" "tt2140655" "WARIAZONE, with post-film Q&A with the co-director, Terje Toomistu (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/609460>Purchase Tickets Online</a>)" 140 2014-04-29 2 "21:45" 1 10 14 "Tuesday" 14
"65" "tt2141739" "FOOD CHAINS, with a post-film discussion featuring Damara Luce, Maisie Ganzler, and Angela Reed(Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/1558329>Purchase Tickets Online</a>)" 320 2015-06-30 2 "19:00" 1 10 32 "Tuesday" 32
"66" "tt2170509" "MOMMY IS COMING (Q & A with filmmaker Cheryl Dunye, cast member Jiz Lee and music supervisor Rob Fatal) <a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/343966\">Purchase Tickets Online</a>" 890 2013-03-23 2 "21:00" 1 10 89 "Saturday" 89
"67" "tt2186685" "ALICE WALKER: BEAUTY IN TRUTH (Spectrum Queer Media) (<a target=”_blank” href=http://brownpapertickets.com/event/521030>Purchase Tickets Online</a>)" 640 2013-11-24 1 "15:00" 1 10 64 "Sunday" 64
"68" "tt2191562" "ALHELM: MARTIN LUTHER KING IN PALESTINE, co-presented by The Berkeley FILM Foundation (<a target=”_blank” href=http://brownpapertickets.com/event/607810>Purchase Tickets Online</a>)" 228 2014-04-01 2 "19:00" 1 10 23 "Tuesday" 23
"69" "tt2196638" "GULABI GANG, followed by Q & A with Filmmaker Nishtha Jain (<a target=”_blank” href=http://brownpapertickets.com/event/876342>Purchase Tickets Online</a>)" 135 2014-10-19 1 "14:30" 1 10 14 "Sunday" 14
"70" "tt2211970" "THE BOY WHO FLIES, with filmmaker in attendance (<a target=”_blank” href=http://brownpapertickets.com/event/519260>Purchase Tickets Online</a>) (Baby Brigade)" 240 2013-12-02 2 "18:30" 1 10 24 "Monday" 24
"71" "tt2215151" "INEQUALITY FOR ALL, co-presented by The Berkeley FILM Foundation with Q&A following the film with director Jacob Kornbluth (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/555830>Purchase Tickets Online</a>)" 1060 2014-02-04 1 "19:00" 1 10 106 "Tuesday" 106
"72" "tt2229399" "SYMPHONY OF THE SOIL (Doc Night) Post film Q&A with director Deborah Koons! (<a target=”_blank” href=http://brownpapertickets.com/event/471530>Purchase Tickets Online</a>)" 480 2013-10-22 2 "19:00" 1 10 48 "Tuesday" 48
"73" "tt2231159" "COME HELL OR HIGH WATER: THE BATTLE FOR TURKEY CREEK, co-presented by The Berkeley FILM Foundation featuring a post-film Q&A with director Leah Mahan, Derek Evans of Turkey Creek, and former Mayor of Berkeley Gus Newport (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/835481>Purchase Tickets Online</a>)" 670 2014-11-18 1 "19:00" 1 10 67 "Tuesday" 67
"74" "tt2273433" "MRS. JUDO, featuring a post-film Q&A with director Yuriko Gamo Romer ( Local Filmmaker Showcase) (<a target=”_blank” href=http://brownpapertickets.com/event/734899>Purchase Tickets Online</a>)" 420 2014-08-24 2 "15:00" 1 10 42 "Sunday" 42
"75" "tt2280836" "SWEET DREAMS, with Filmmaker Q & A (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/535250>Purchase Tickets Online</a>)" 580 2014-01-07 2 "19:00" 1 10 58 "Tuesday" 58
"76" "tt2281201" "Broaklyn, fresco, Fist Up Film Festival, and Top Ten Social present <a href=\"http://www.doinitinthepark.com\">DOIN' IT IN THE PARK</a> (<a target=\"_blank\" href=\"http://doinoak.eventbrite.com/\">Purchase Tickets Online</a>)" 1284 2013-05-17 2 "19:00" 1 10 128 "Friday" 128
"77" "tt2281201" "Broaklyn, fresco, Fist Up Film Festival, and Top Ten Social present <a href=\"http://www.doinitinthepark.com\">DOIN' IT IN THE PARK</a> (<a target=\"_blank\" href=\"http://doinoak.eventbrite.com/\">Purchase Tickets Online</a>)" 130 2013-05-18 2 "15:30" 1 10 13 "Saturday" 13
"78" "tt2281201" "Broaklyn, fresco, Fist Up Film Festival, and Top Ten Social present <a href=\"http://www.doinitinthepark.com\">DOIN' IT IN THE PARK</a> (<a target=\"_blank\" href=\"http://doinoak.eventbrite.com/\">Purchase Tickets Online</a>)" 173 2013-05-20 1 "21:15" 1 10 17 "Monday" 17
"79" "tt2281201" "Broaklyn, fresco, Fist Up Film Festival, and Top Ten Social present <a href=\"http://www.doinitinthepark.com\">DOIN' IT IN THE PARK</a> (<a target=\"_blank\" href=\"http://doinoak.eventbrite.com/\">Purchase Tickets Online</a>)" 110 2013-05-21 1 "21:15" 1 10 11 "Tuesday" 11
"80" "tt2281201" "Broaklyn, fresco, Fist Up Film Festival, and Top Ten Social present <a href=\"http://www.doinitinthepark.com\">DOIN' IT IN THE PARK</a> (<a target=\"_blank\" href=\"http://doinoak.eventbrite.com/\">Purchase Tickets Online</a>)" 248 2013-05-22 2 "21:15" 1 10 25 "Wednesday" 25
"81" "tt2320031" "Feelmore Fresh Fridays - 'SEXING THE TRANSMAN' (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/338044\">Purchase Tickets Online</a>)" 481 2013-03-08 1 "22:00" 1 10 48 "Friday" 48
"82" "tt2321549" "THE BABADOOK" 358 2015-01-07 1 "21:40" 1 10 36 "Wednesday" 36
"83" "tt2322482" "IF YOU BUILD IT, co-presented by The Oakland Makers with Post-film Q&A with Emily Pilloton (<a target=”_blank” href=http://brownpapertickets.com/event/632861>Purchase Tickets Online</a>)" 264 2014-04-12 1 "15:30" 1 10 26 "Saturday" 26
"84" "tt2340650" "EAST SIDE SUSHI, featuring a post film Q&A with director Anthony Lucero (<a target=”_blank” href=http://brownpapertickets.com/event/2465861>Purchase Tickets Online</a>)" 473 2015-11-21 1 "19:00" 1 10 47 "Saturday" 47
"85" "tt2357398" "THE FRONT MAN, co-presented by The National Poetry Slam and featuring a live poetry performance (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/755337>Purchase Tickets Online</a>)" 78 2014-07-15 2 "19:00" 1 10 8 "Tuesday" 8
"86" "tt2375605" "THE ACT OF KILLING, with post-film Q&A with director Joshua Oppenheimer (<a target=”_blank” href=http://brownpapertickets.com/event/560382>Purchase Tickets Online</a>)" 770 2014-01-28 1 "17:30" 1 10 77 "Tuesday" 77
"87" "tt2375605" "THE ACT OF KILLING (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/588418>Purchase Tickets Online</a>)" 554 2014-03-11 2 "18:15" 1 10 55 "Tuesday" 55
"88" "tt2381957" "LET'S STAY TOGETHER (presented the filmmaker by Joshua Bee Alafia)(<a target=”_blank” href=http://brownpapertickets.com/event/508294>Purchase Tickets Online</a>)" 705 2013-11-07 2 "21:30" 1 10 70 "Thursday" 70
"89" "tt2381957" "LET'S STAY TOGETHER, presented by filmmaker Joshua Bee Alafia) (<a target=”_blank” href=http://www.brownpapertickets.com/event/510207>Purchase Tickets Online</a>)" 700 2013-11-10 1 "20:30" 1 10 70 "Sunday" 70
"90" "tt2386327" "THE INSTITUTE post-film discussion with Jeff Hull (<a target=”_blank” href=http://brownpapertickets.com/event/476330>Purchase Tickets Online</a>)" 275 2013-10-04 1 "21:30" 1 10 28 "Friday" 28
"91" "tt2386327" "THE INSTITUTE (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/471517>Purchase Tickets Online</a>)" 366 2013-10-08 1 "19:00" 1 10 37 "Tuesday" 37
"92" "tt2425486" "GLORIA" 132 2014-04-30 2 "21:30" 1 10 13 "Wednesday" 13
"93" "tt2464812" "LICKS (<a target=”_blank” href=http://www.brownpapertickets.com/event/421296>Purchase Tickets Online</a>)" 742 2013-07-26 1 "21:00" 1 10 74 "Friday" 74
"94" "tt2464812" "LICKS (<a target=”_blank” href=http://www.brownpapertickets.com/event/421306>Purchase Tickets Online</a>)" 1344 2013-07-27 1 "21:30" 1 10 134 "Saturday" 134
"95" "tt2464812" "LICKS (<a target=”_blank” href=http://www.brownpapertickets.com/event/421310>Purchase Tickets Online</a>)" 1070 2013-07-28 2 "20:45" 1 10 107 "Sunday" 107
"96" "tt2492002" "THE HOMESTRETCH, featuring a post-film panel discussion (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/881207>Purchase Tickets Online</a>)" 600 2014-11-11 2 "18:45" 1 10 60 "Tuesday" 60
"97" "tt2525342" "A FRAGILE TRUST, co-presented by The Berkeley FILM Foundation and featuring a post-film Q&A with director Samantha Grant (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/764271>Purchase Tickets Online</a>)" 320 2014-09-09 2 "19:00" 1 10 32 "Tuesday" 32
"98" "tt2545088" "AMERICAN PROMISE (<a target=”_blank” href=http://www.tugg.com/events/8100>Purchase Tickets Online</a>)" 1232 2014-03-19 2 "18:15" 1 10 123 "Wednesday" 123
"99" "tt2562232" "BIRDMAN" 348 2015-03-25 1 "20:45" 1 10 35 "Wednesday" 35
"100" "tt2562232" "BIRDMAN" 379 2015-04-01 1 "21:20" 1 10 38 "Wednesday" 38
"101" "tt2663896" "CITY OF PHOTOS, followed by Q&A with Filmmaker Nishtha Jain (<a target=”_blank” href=http://brownpapertickets.com/event/880249>Purchase Tickets Online</a>)" 85 2014-10-19 2 "12:30" 1 10 8 "Sunday" 8
"102" "tt2788710" "THE INTERVIEW (<a target=”_blank” href=http://brownpapertickets.com/event/1093074>Purchase Tickets Online</a>)" 1672 2014-12-25 1 "23:30" 1 10 167 "Thursday" 167
"103" "tt2788710" "THE INTERVIEW (<a target=”_blank” href=http://brownpapertickets.com/event/1093078>Purchase Tickets Online</a>)" 2204 2014-12-26 1 "21:40" 2 10 220 "Friday" 110
"104" "tt2788710" "THE INTERVIEW (<a target=”_blank” href=http://brownpapertickets.com/event/1093080>Purchase Tickets Online</a>)" 1136 2014-12-27 2 "16:25" 2 10 114 "Saturday" 57
"105" "tt2788710" "THE INTERVIEW (<a target=”_blank” href=http://brownpapertickets.com/event/1093084>Purchase Tickets Online</a>)" 1864 2014-12-28 1 "20:15" 2 10 186 "Sunday" 93
"106" "tt2788710" "THE INTERVIEW (Baby Brigade) (<a target=”_blank” href=http://brownpapertickets.com/event/1093086>Purchase Tickets Online</a>)" 686 2014-12-29 2 "17:45" 2 10 69 "Monday" 34
"107" "tt2788710" "THE INTERVIEW - Groupons/Living Social not accepted for all showings of \"The Interview\" (<a target=”_blank” href=http://brownpapertickets.com/event/1093090>Purchase Tickets Online</a>)" 828 2014-12-30 1 "20:45" 1 10 83 "Tuesday" 83
"108" "tt2788710" "THE INTERVIEW - Groupons/Living Social not accepted for all showings of \"The Interview\" (<a target=”_blank” href=http://brownpapertickets.com/event/1093095>Purchase Tickets Online</a>)" 1288 2015-01-01 1 "17:25" 2 10 129 "Thursday" 64
"109" "tt2788710" "THE INTERVIEW - Groupons/Living Social not accepted for all showings of \"The Interview\"" 1176 2015-01-02 1 "19:55" 2 10 118 "Friday" 59
"110" "tt2788710" "THE INTERVIEW - Groupons/Living Social not accepted for all showings of \"The Interview\"" 800 2015-01-03 1 "18:10" 1 10 80 "Saturday" 80
"111" "tt2788710" "THE INTERVIEW - Groupons/Living Social not accepted for all showings of \"The Interview\"" 632 2015-01-04 1 "20:15" 2 10 63 "Sunday" 32
"112" "tt2788710" "THE INTERVIEW - Groupons/Living Social not accepted for all showings of \"The Interview\"" 256 2015-01-05 1 "19:00" 1 10 26 "Monday" 26
"113" "tt2788710" "THE INTERVIEW - Groupons/Living Social not accepted for all showings of \"The Interview\"" 200 2015-01-06 1 "21:30" 1 10 20 "Tuesday" 20
"114" "tt2788710" "THE INTERVIEW - Groupons/Living Social not accepted for all showings of \"The Interview\"--MUST END TONIGHT!!" 150 2015-01-08 1 "21:10" 1 10 15 "Thursday" 15
"115" "tt2788716" "WELCOME TO ME" 216 2015-05-27 1 "21:30" 1 10 22 "Wednesday" 22
"116" "tt2961890" "ROCKS IN MY POCKET, with post-film Q&A with director Signe Baumane (<a target=”_blank” href=http://brownpapertickets.com/event/972985>Purchase Tickets Online</a>)" 60 2014-11-22 2 "15:00" 1 10 6 "Saturday" 6
"117" "tt2961890" "ROCKS IN MY POCKET, with post-film Q&A featuring director Signe Baumane (<a target=”_blank” href=http://brownpapertickets.com/event/972991>Purchase Tickets Online</a>)" 160 2014-11-23 2 "15:00" 1 10 16 "Sunday" 16
"118" "tt2991472" "CALIFORNIA HIGH, co-presented by the Video Project and featuring a post-film discussion (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/373?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 300 2016-03-22 2 "19:00" 1 10 30 "Tuesday" 30
